1C2-E-SAMPLE-0001	ARTIST	Whitney Houston death
1C2-E-SAMPLE-0002	ARTIST	shakira boyfriend
1C2-E-SAMPLE-0003	ACTOR	daniel craig bond
1C2-E-SAMPLE-0004	ACTOR	emily blunt golden globe
1C2-E-SAMPLE-0005	POLITICIAN	Margaret Thatcher movie
1C2-E-SAMPLE-0006	POLITICIAN	Roosevelt paralysis
1C2-E-SAMPLE-0007	ATHLETE	lionel messi failure 2012
1C2-E-SAMPLE-0008	ATHLETE	lebron james 2012
1C2-E-SAMPLE-0009	FACILITY	space needle
1C2-E-SAMPLE-0010	FACILITY	Tufts medical center
1C2-E-SAMPLE-0011	GEO	flower shop downtown LA
1C2-E-SAMPLE-0012	GEO	post office Kingston, ontario
1C2-E-SAMPLE-0013	DEFINITION	parkinsons disease
1C2-E-SAMPLE-0014	DEFINITION	optical fiber
1C2-E-SAMPLE-0015	QA	when is the presidential election (2012)
1C2-E-SAMPLE-0016	QA	difference between plasma and LCD
